Client,Description,Date,Numero-de-classement
FLEURLAIT,ASSISTANCE JURIDIQUE ET FISCALE,2008-2011,1024
KANSALA RESOURCE,ASSISTANCE JURIDIQUE ET FISCALE,2007,1025
MSC SENEGAL,JF REGISTRE DES PROCES VERBAUX DU CA,2001-2006,1026
FRAPORT,ASSISTANCE JURIDIQUE ET FISCALE,2009-2010,1027
FRAPORT,ASSISTANCE JURIDIQUE ET FISCALE,2010,1028
MSC SENEGAL,JF REGISTRE DES PROCES VERBAUX AUX AG ET CA,2004-2009,1029
SMR,ASSISTANCE JURIDIQUE ET FISCALE,1993-2000,1030
SATREC,ASSISTANCE JURIDIQUE ET FISCALE,2011,1031
ROYAM,ASSISTANCE JURIDIQUE ET FISCALE,1995-2011,1032
GUINNESS,ASSISTANCE JURIDIQUE ET FISCALE,2011,1033
COMPLEXE SALY MBOUR SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2011,1269
DELOITTE,ASSISTANCE JURIDIQUE ET FISCALE,2007-2011,1034
GREENPEACE,ASSISTANCE JURIDIQUE ET FISCALE,2011,1035
DELOITTE,JF CORRESPONDANCE CENTRE DES IMPOTS,2007-2011,1036
DELTA,ASSISTANCE JURIDIQUE ET FISCALE,2010-2011,1037
DELOITTE DUBAI (NOKIA FEE QUOTE),2001,,1038
OPHIR,ASSISTANCE JURIDIQUE ET FISCALE,2011,1039
OPHIR,JF AGC,2011,1040
WADE WALKER PROJECTS,ASSISTANCE JURIDIQUE ET FISCALE,2003,1041
MITSUBISHI CORPORATION,ASSISTANCE JURIDIQUE ET FISCALE,2009,1042
SOCIETE RIZICOLE DU DELTA,"NOV-DEC-2011,2010",,1043
TECHNOSUD,ASSISTANCE JURIDIQUE ET FISCALE,2011,1044
SOS KINDERDORF / SAVE THE CHILDREN,ASSISTANCE JURIDIQUE ET FISCALE,2011,1045
AGEM,ASSISTANCE JURIDIQUE ET FISCALE,2012,1046
BAT/TMC,ASSISTANCE JURIDIQUE ET FISCALE,2012,1047
BBC,ASSISTANCE JURIDIQUE ET FISCALE,2012,1048
BREADBOX,ASSISTANCE JURIDIQUE ET FISCALE,2012,1049
BSIC,JF AJ & F,2012,1050
CHOCOSEN c/ BRM,ASSISTANCE JURIDIQUE ET FISCALE,2012,1051
CIC,ASSISTANCE JURIDIQUE ET FISCALE,2012,1052
CMS,ASSISTANCE JURIDIQUE ET FISCALE,2012,1053
CSS,JF PROJET DE DETERMINATION RESULTAT FISCAL,2012,1054
COPADEX,ASSISTANCE JURIDIQUE ET FISCALE,2012,1055
DANA,ASSISTANCE JURIDIQUE ET FISCALE,2012,1056
DCI,ASSISTANCE JURIDIQUE ET FISCALE,2012,1057
DELOITTE SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2012,1058
DELTA,ASSISTANCE JURIDIQUE ET FISCALE,2012,1059
DEMIMPEX EQUIPEMENT,JF CREATION FILIALE DEM SENEGAL,2012,1060
ERICSSON,ASSISTANCE JURIDIQUE ET FISCALE,2012,1061
ETDE,ASSISTANCE JURIDIQUE ET FISCALE,2012,1062
EVEO CONSULTING,ASSISTANCE JURIDIQUE ET FISCALE,2012,1063
TOTAL SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2012,1064
VEOLIA,ASSISTANCE JURIDIQUE ET FISCALE,2012,1065
WADE WALKER,ASSISTANCE JURIDIQUE ET FISCALE,2012,1066
WHILEMSEN SHIPS SERVICES (WSS),JF FACTURES HONORAIRES CONTRAT DE TRAVAIL,2012,1067
BIA DAKAR,ASSISTANCE JURIDIQUE ET FISCALE,2012,1068
ECS,ASSISTANCE JURIDIQUE ET FISCALE,2012,1069
GPIE,ASSISTANCE JURIDIQUE ET FISCALE,2012,1070
GROUPE HATIER INTERNATIONAL,ASSISTANCE JURIDIQUE ET FISCALE,2012,1071
HOTEL FAIDHERBE,ASSISTANCE JURIDIQUE ET FISCALE,2012,1072
HOTEL FILAOS,ASSISTANCE JURIDIQUE ET FISCALE,2012,1073
HOTEL MIRAMAR,ASSISTANCE JURIDIQUE ET FISCALE,2012,1074
HOTEL NOVOTEL,ASSISTANCE JURIDIQUE ET FISCALE,2007-2012,1075
HOTEL SALY,ASSISTANCE JURIDIQUE ET FISCALE,2012,1076
HYPSEC MALI,ASSISTANCE JURIDIQUE ET FISCALE,2012,1077
IAM GOLD,ASSISTANCE JURIDIQUE ET FISCALE,2012,1078
IBM,ASSISTANCE JURIDIQUE ET FISCALE,2012,1079
LAITERIE DU BERGER SA (LBD),ASSISTANCE JURIDIQUE ET FISCALE,2012,1080
LES CLASSIQUES DU SENEGAL SARL,ASSISTANCE JURIDIQUE ET FISCALE,2012,1081
MIRAMAR,ASSISTANCE JURIDIQUE ET FISCALE,2012,1082
MAL AND CANAL+ SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2012,1083
MTL,ASSISTANCE JURIDIQUE ET FISCALE,2012,1084
NOUVELLES FRONTIERES SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2012,1085
OCEAN NATURE,ASSISTANCE JURIDIQUE ET FISCALE,2012,1086
OGO GUEYE,ASSISTANCE JURIDIQUE ET FISCALE,2012,1087
OPHIR,JF AGC,2012,1088
OPHIR,ASSISTANCE JURIDIQUE ET FISCALE,2012,1089
RANBAXY,ASSISTANCE JURIDIQUE ET FISCALE,2010-2012,1090
SGO,ASSISTANCE JURIDIQUE ET FISCALE,2012,1091
TECHNOSUD,ASSISTANCE JURIDIQUE ET FISCALE,2012,1092
SAGA,ASSISTANCE JURIDIQUE ET FISCALE,2012,1093
SCL,ASSISTANCE JURIDIQUE ET FISCALE,2012,1094
SENCA,ASSISTANCE JURIDIQUE ET FISCALE,2012,1095
SETEC,ASSISTANCE JURIDIQUE ET FISCALE,2012,1096
SGBS,ASSISTANCE JURIDIQUE ET FISCALE,2012,1097
SGD,ASSISTANCE JURIDIQUE ET FISCALE,2012,1098
SOS KINDERDORF / SAVE THE CHILDREN,ASSISTANCE JURIDIQUE ET FISCALE,2012,1099
AGEM,ASSISTANCE JURIDIQUE ET FISCALE,2013,1100
AXESS SARL,ASSISTANCE JURIDIQUE ET FISCALE,2013,1101
BBC,ASSISTANCE JURIDIQUE ET FISCALE,2012-2013,1102
BCEAO,ASSISTANCE JURIDIQUE ET FISCALE,2013,1103
BFCS,ASSISTANCE JURIDIQUE ET FISCALE,2013,1104
BSIC,ASSISTANCE JURIDIQUE ET FISCALE,2013,1105
DANA PETROLEUM,ASSISTANCE JURIDIQUE ET FISCALE,2013,1106
DELOITTE,ASSISTANCE JURIDIQUE ET FISCALE,2013,1107
DELTA AIRLINES,ASSISTANCE JURIDIQUE ET FISCALE,2013,1108
DEM SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2013,1109
ERICSSON,ASSISTANCE JURIDIQUE ET FISCALE,2012-2013,1110
ETDE,ASSISTANCE JURIDIQUE ET FISCALE,2013,1111
EVEO,ASSISTANCE JURIDIQUE ET FISCALE,2013,1112
GCO,ASSISTANCE JURIDIQUE ET FISCALE,2013,1113
GOOGLE,ASSISTANCE JURIDIQUE ET FISCALE,2013,1114
GMBH,ASSISTANCE JURIDIQUE ET FISCALE,2013,1115
GROUPE HATIER INTERNATIONAL,ASSISTANCE JURIDIQUE ET FISCALE,"2012,2013,2016",1116
IAM GOLD,ASSISTANCE JURIDIQUE ET FISCALE,2013,1117
IMSEN c/ MR CHEIKH NIANG,ASSISTANCE JURIDIQUE ET FISCALE,2013,1118
IAM GOLD,ASSISTANCE JURIDIQUE ET FISCALE,2012-2013,1119
JAMIL SARL,ASSISTANCE JURIDIQUE ET FISCALE,2013,1120
JINDAL,ASSISTANCE JURIDIQUE ET FISCALE,2013,1121
LIB,ASSISTANCE JURIDIQUE ET FISCALE,2013,1122
LOBBOU MAME DIARRA BOUSSO,ASSISTANCE JURIDIQUE ET FISCALE,2010-2013,1123
MOBILE CASH,ASSISTANCE JURIDIQUE ET FISCALE,2013,1124
PFIZER,ASSISTANCE JURIDIQUE ET FISCALE,2011-2013,1125
PFIZER,ASSISTANCE JURIDIQUE ET FISCALE,2009-2013,1126
RAND GOLD,ASSISTANCE JURIDIQUE ET FISCALE,2013,1127
ROYAM,ASSISTANCE JURIDIQUE ET FISCALE,2008-2013,1128
SOUTH AFRICA AIRWAYS LTD (SAA),ASSISTANCE JURIDIQUE ET FISCALE,2013,1129
SOPHIA SECURIS,ASSISTANCE JURIDIQUE ET FISCALE,2013,1130
SENDISO,ASSISTANCE JURIDIQUE ET FISCALE,2013,1131
SIFCA-CAIT,JF JOINT VENTURE,2012,1132
SOLID,ASSISTANCE JURIDIQUE ET FISCALE,2013,1133
TECH MAHINDRA,ASSISTANCE JURIDIQUE ET FISCALE,2013,1134
TLS CONTACT,ASSISTANCE JURIDIQUE ET FISCALE,2013,1135
VENDOME,ASSISTANCE JURIDIQUE ET FISCALE,2012-2013,1136
VEOLIA,ASSISTANCE JURIDIQUE ET FISCALE,2013,1137
WADE WALKER PROPRIETY LIMITED,ASSISTANCE JURIDIQUE ET FISCALE,2013,1138
SAII SA,ASSISTANCE JURIDIQUE ET FISCALE,2013,1139
SENDISO,ASSISTANCE JURIDIQUE ET FISCALE,2013,1140
SETEC,ASSISTANCE JURIDIQUE ET FISCALE,2010-2013,1141
SENEGAL TOURS,ASSISTANCE JURIDIQUE ET FISCALE,2019,1142
SGO,ASSISTANCE JURIDIQUE ET FISCALE,2013,1143
SHB,ASSISTANCE JURIDIQUE ET FISCALE,2019,1144
SOGETRA SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2013,1145
SOLID,ASSISTANCE JURIDIQUE ET FISCALE,2013,1146
SOS KINDERDORF / SAVE THE CHILDREN,ASSISTANCE JURIDIQUE ET FISCALE,2013,1147
VEOLIA,ASSISTANCE JURIDIQUE ET FISCALE,2007-2013,1148
FMN,ASSISTANCE JURIDIQUE ET FISCALE,2012,1270
FLEURLAIT,ASSISTANCE JURIDIQUE ET FISCALE,2012-2013,1149
FRAPORT,ASSISTANCE JURIDIQUE ET FISCALE,2013,1150
KOSMOS ENERGY,ASSISTANCE JURIDIQUE ET FISCALE,2013,1151
SAGEM,ASSISTANCE JURIDIQUE ET FISCALE,2013,1152
TECHNOSUD,ASSISTANCE JURIDIQUE ET FISCALE,2012,1153
SEAG,ASSISTANCE JURIDIQUE ET FISCALE,2012,1154
KAMA,ASSISTANCE JURIDIQUE ET FISCALE,2012,1155
FRANVASO,ASSISTANCE JURIDIQUE ET FISCALE,2012,1156
FRANCOIS DE SENNEVILLE,ASSISTANCE JURIDIQUE ET FISCALE,2012,1157
PFIZER,ASSISTANCE JURIDIQUE ET FISCALE,2012-2013,1158
ADI (VIBE RADIO),ASSISTANCE JURIDIQUE ET FISCALE,2014,1159
AGEM SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2013-2014,1160
AMBACTIA,ASSISTANCE JURIDIQUE ET FISCALE,2013-2014,1161
BOUYGUES E&S SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2014,1162
CSU-HAYO,ASSISTANCE JURIDIQUE ET FISCALE,2014,1163
CIC,ASSISTANCE JURIDIQUE ET FISCALE,2014,1164
CMS/BIMAO,ASSISTANCE JURIDIQUE ET FISCALE,2013-2014,1165
COPADEX,ASSISTANCE JURIDIQUE ET FISCALE,2014,1166
CUMMINS,ASSISTANCE JURIDIQUE ET FISCALE,2014,1167
DANA,ASSISTANCE JURIDIQUE ET FISCALE,2014,1168
DCI,ASSISTANCE JURIDIQUE ET FISCALE,2014,1169
DELTA,ASSISTANCE JURIDIQUE ET FISCALE,2014,1170
ETDE,ASSISTANCE JURIDIQUE ET FISCALE,2014,1171
EVEO,ASSISTANCE JURIDIQUE ET FISCALE,2014,1172
GEMALTO,ASSISTANCE JURIDIQUE ET FISCALE,2014,1173
ERICSSON,ASSISTANCE JURIDIQUE ET FISCALE,2014,1174
MAC SERVICES,ASSISTANCE JURIDIQUE ET FISCALE,2014,1175
HOTEL FAIDHERBE,ASSISTANCE JURIDIQUE ET FISCALE,2014,1176
OCEAN NATURE,ASSISTANCE JURIDIQUE ET FISCALE,2014,1177
OXFAM AMERICA,ASSISTANCE JURIDIQUE ET FISCALE,2014,1178
RANDBAXY,ASSISTANCE JURIDIQUE ET FISCALE,2010-2014,1179
SEDCO FOREX INTERNATIONAL INC.,2014,,1180
ERICSSON,ASSISTANCE JURIDIQUE ET FISCALE,2011-2014,1181
PETROSEN-TIMIS CORPORATION-KOSMOS ENERGY SENEGAL,JF ACTE DE SESSION,2014,1182
REDINGTON SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2014,1183
RANBAXY LABORATORIES LTD,ASSISTANCE JURIDIQUE ET FISCALE,2015-2017,1184
SANOFI,ASSISTANCE JURIDIQUE ET FISCALE,2014,1185
SENSTOCK,ASSISTANCE JURIDIQUE ET FISCALE,2014,1186
SOCIETE MINIERE DE SABODALA (SMS),JF DOSSIERS LIQUIDATION,2013-2014,1187
SOPHIA SECURIS,ASSISTANCE JURIDIQUE ET FISCALE,2014,1188
TECH MAHINDRA,ASSISTANCE JURIDIQUE ET FISCALE,2014,1189
TECHNOSUD,ASSISTANCE JURIDIQUE ET FISCALE,2011-2014,1190
THOMSON REUTERS,ASSISTANCE JURIDIQUE ET FISCALE,2014,1191
FLASH AFRIQUE SEA PRODUCT,ASSISTANCE JURIDIQUE ET FISCALE,2014,1192
FRAPORT,ASSISTANCE JURIDIQUE ET FISCALE,2009-2014,1193
FLEURLAIT,ASSISTANCE JURIDIQUE ET FISCALE,2008-2014,1194
FLASH AFRIQUE,ASSISTANCE JURIDIQUE ET FISCALE,2014,1195
FLEURLAIT,ASSISTANCE JURIDIQUE ET FISCALE,2011-2014,1196
FRAPORT,ASSISTANCE JURIDIQUE ET FISCALE,2010-2014,1197
PFIZER,ASSISTANCE JURIDIQUE ET FISCALE,2009-2014,1198
PFOJET SOLAR,ASSISTANCE JURIDIQUE ET FISCALE,2014,1199
SNEG,ASSISTANCE JURIDIQUE ET FISCALE,2014,1200
SAHE,ASSISTANCE JURIDIQUE ET FISCALE,2009-2014,1201
SCL,ASSISTANCE JURIDIQUE ET FISCALE,2014,1202
SGBS,ASSISTANCE JURIDIQUE ET FISCALE,2014,1203
SGO,JF REVUE ITIE,2014,1204
SOLID,ASSISTANCE JURIDIQUE ET FISCALE,2006-2014,1205
SOPHIA SECURIS,ASSISTANCE JURIDIQUE ET FISCALE,2009-2014,1206
SOS KINDERDORF/SAVE THE CHILDREN,ASSISTANCE JURIDIQUE ET FISCALE,2014,1207
3CA,ASSISTANCE JURIDIQUE ET FISCALE,2012,1208
AGEM,ASSISTANCE JURIDIQUE ET FISCALE,2012-1013,1209
CIC,ASSISTANCE JURIDIQUE ET FISCALE,2012,1210
COPADEX,ASSISTANCE JURIDIQUE ET FISCALE,2012,1211
AFD,ASSISTANCE JURIDIQUE ET FISCALE,2012,1212
AGEM-IAM GOLD,JF DOSSEER DE VERIFICATION,2014,1213
SOPHIA SECURIS,ASSISTANCE JURIDIQUE ET FISCALE,2014,1214
ADI,ASSISTANCE JURIDIQUE ET FISCALE,2015,1215
AGEM-IAM GOLD,ASSISTANCE JURIDIQUE ET FISCALE,2015,1216
BFCS,ASSISTANCE JURIDIQUE ET FISCALE,2014-2015,1217
BOUYGUES E&S SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2014-2015,1218
CAPRICORN,ASSISTANCE JURIDIQUE ET FISCALE,2015,1219
CIC,ASSISTANCE JURIDIQUE ET FISCALE,2009-2015,1220
COMPLEXE SALY MBOUR SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2015,1221
DANA PETROLEUM,ASSISTANCE JURIDIQUE ET FISCALE,2015,1222
DELOITTE/DGID,ASSISTANCE JURIDIQUE ET FISCALE,2011-2015,1223
DANA PETROLEUM,ASSISTANCE JURIDIQUE ET FISCALE,2008-2015,1224
MISSION EDEN-ELTON,ASSISTANCE JURIDIQUE ET FISCALE,2015,1225
ERICSSON,ASSISTANCE JURIDIQUE ET FISCALE,2015,1226
GEMALTO,ASSISTANCE JURIDIQUE ET FISCALE,2015,1227
GOOGLE,ASSISTANCE JURIDIQUE ET FISCALE,2015,1228
GREEN 2000,2015,,1229
GTA,ASSISTANCE JURIDIQUE ET FISCALE,2015,1230
HOTEL FAIDHERBE,ASSISTANCE JURIDIQUE ET FISCALE,2009-2015,1231
IAM GOLD,ASSISTANCE JURIDIQUE ET FISCALE,2015,1232
IMPACT OIL,ASSISTANCE JURIDIQUE ET FISCALE,2015,1233
ODYSSEE,ASSISTANCE JURIDIQUE ET FISCALE,2015,1234
PFIZER,ASSISTANCE JURIDIQUE ET FISCALE,2015,1235
ROYAM,ASSISTANCE JURIDIQUE ET FISCALE,2015,1236
SCIMD,ASSISTANCE JURIDIQUE ET FISCALE,2015,1237
SETEC,ASSISTANCE JURIDIQUE ET FISCALE,2015,1238
SOPHIA SECURIS,ASSISTANCE JURIDIQUE ET FISCALE,2015,1239
SUN PHARMACEUTICAL INDUSTRIES,ASSISTANCE JURIDIQUE ET FISCALE,2015,1240
TECH MAHINDRA,ASSISTANCE JURIDIQUE ET FISCALE,2015,1241
TECHNOSUD,JF AGO,2015,1242
THERMAX,ASSISTANCE JURIDIQUE ET FISCALE,2015,1243
UPM,ASSISTANCE JURIDIQUE ET FISCALE,2015,1244
ZEN PETROLEUM,ASSISTANCE JURIDIQUE ET FISCALE,2014-2015.,1245
FIDES MICROFINANCE SA,ASSISTANCE JURIDIQUE ET FISCALE,2015,1246
KEEWU,ASSISTANCE JURIDIQUE ET FISCALE,2015,1247
KOSMOS ENERGY SENEGAL,ASSISTANCE JURIDIQUE ET FISCALE,2015,1248
MOUSSA MBAYE,ASSISTANCE JURIDIQUE ET FISCALE,2008-2015,1249
PHARMACIE TERMINUS,ASSISTANCE JURIDIQUE ET FISCALE,2015,1250
SAHE,ASSISTANCE JURIDIQUE ET FISCALE,2015,1251
SENTEL GSM,ASSISTANCE JURIDIQUE ET FISCALE,2013-2015,1252
